Most important phishing n_grams
722. 0307 - freq: 38
723. .pay - freq: 38
724. les/ - freq: 38
725. e303 - freq: 38
726. ling - freq: 38
727. 3f62 - freq: 38
728. n.ht - freq: 38
729. 96e6 - freq: 38
730. hare - freq: 38
731. mazo - freq: 38
732. dpp0 - freq: 38
733. o/in - freq: 38
734. id=4 - freq: 38
735. =en_ - freq: 38
736. ecti - freq: 38
737. eeri - freq: 38
738. t.ph - freq: 38
739. 23f6 - freq: 38
740. nfo/ - freq: 38
741. nkin - freq: 38
742. nks/ - freq: 38
743. p00c - freq: 38
744. ns.n - freq: 38
745. ale. - freq: 38
746. anks - freq: 38
747. sban - freq: 38
748. 7461 - freq: 38
749. shar - freq: 38
750. -dat - freq: 38
751. 36f6 - freq: 37
752. //.s - freq: 37
753. om/e - freq: 37
754. om.a - freq: 37
755. /.ap - freq: 37
756. 2e30 - freq: 37
757. m/co - freq: 37
758. .edu - freq: 37
759. ca.c - freq: 37
760. .x=e - freq: 37
761. unt. - freq: 37
762. -ýdp - freq: 37
763. s.ht - freq: 37
764. s.ne - freq: 37
765. mer_ - freq: 37
766. eban - freq: 37
767. iona - freq: 37
768. edu. - freq: 37
769. 2.ht - freq: 37
770. t/ca - freq: 37
771. t/up - freq: 37
772. x=en - freq: 37
773. er-ý - freq: 37
774. er_c - freq: 37
775. 7374 - freq: 37
776. p?em - freq: 37
777. //.n - freq: 36
778. on=7 - freq: 36
779. m/lo - freq: 36
780. ca/8 - freq: 36
781. le.x - freq: 36
782. e.x= - freq: 36
783. _cen - freq: 36
784. /adm - freq: 36
785. /dir - freq: 36
786. usba - freq: 36
787. /js/ - freq: 36
788. ://w - freq: 36
789. ://g - freq: 36
790. f737 - freq: 36
791. r_ce - freq: 36
792. im/4 - freq: 36
793. new/ - freq: 36
794. nfor - freq: 36
795. rson - freq: 36
796. et/w - freq: 36
797. ers. - freq: 36
798. erso - freq: 36
799. nt/u - freq: 36
800. amaz - freq: 36
801. word - freq: 36
802. -ame - freq: 36
803. 6c61 - freq: 35
804. om/h - freq: 35
805. om.p - freq: 35
806. om/2 - freq: 35
807. om/u - freq: 35
808. om/v - freq: 35
809. on.p - freq: 35
810. d/bo - freq: 35
811. oud. - freq: 35
812. ca/d - freq: 35
813. 4617 - freq: 35
814. .icu - freq: 35
815. r/cu - freq: 35
816. pres - freq: 35
817. .sig - freq: 35
818. conf - freq: 35
819. yout - freq: 35
820. n/?c - freq: 35
821. llin - freq: 35
822. /mat - freq: 35
823. /one - freq: 35
824. /pag - freq: 35
825. ://e - freq: 35
826. o.es - freq: 35
827. icu/ - freq: 35
828. 6268 - freq: 35
829. 6261 - freq: 35
830. ress - freq: 35
831. in/? - freq: 35
832. rghf - freq: 35
833. inte - freq: 35
834. rmat - freq: 35
835. 2617 - freq: 35
836. ade/ - freq: 35
837. ns/t - freq: 35
838. asrg - freq: 35
839. p?co - freq: 35
840. onfi - freq: 34
841. d.ph - freq: 34
842. m/20 - freq: 34
843. oxco - freq: 34
844. .bd/ - freq: 34
845. ca/f - freq: 34
846. e/lo - freq: 34
847. comp - freq: 34
848. /dad - freq: 34
849. fýle - freq: 34
850. user - freq: 34
851. defa - freq: 34
852. ree- - freq: 34
853. 686f - freq: 34
854. ion- - freq: 34
855. efau - freq: 34
856. enti - freq: 34
857. web. - freq: 34
858. ank. - freq: 34
859. c617 - freq: 34
860. faul - freq: 34
861. ault - freq: 34
862. 3077 - freq: 34
863. firm - freq: 34
864. bd/b - freq: 33
865. //it - freq: 33
866. //on - freq: 33
867. oned - freq: 33
868. d.si - freq: 33
869. out/ - freq: 33
870. m.ed - freq: 33
871. m/im - freq: 33
872. pers - freq: 33
873. tree - freq: 33
874. gree - freq: 33
875. grou - freq: 33
876. purm - freq: 33
877. /det - freq: 33
878. urmd - freq: 33
879. dadp - freq: 33
880. /mod - freq: 33
881. /pri - freq: 33
882. mdsa - freq: 33
883. dns. - freq: 33
884. 19/0 - freq: 33
885. f382 - freq: 33
886. dpur - freq: 33
887. dsam - freq: 33
888. du.b - freq: 33
889. k%20 - freq: 33
890. b.co - freq: 33
891. ign. - freq: 33
892. 696e - freq: 33
893. rmds - freq: 33
894. 2242 - freq: 33
895. ne.c - freq: 33
896. nk%2 - freq: 33
897. nk.c - freq: 33
898. adpu - freq: 33
899. es/s - freq: 33
900. erve - freq: 33
901. am.e - freq: 33
902. sam. - freq: 33
903. and. - freq: 33
904. ance - freq: 33
905. anet - freq: 33
906. ank% - freq: 33
907. u.bd - freq: 33
908. sona - freq: 33
909. bd26 - freq: 32
910. om/n - freq: 32
911. //re - freq: 32
912. onne - freq: 32
913. orma - freq: 32
914. xmai - freq: 32
915. oxma - freq: 32
916. glis - freq: 32
917. 7ef3 - freq: 32
918. grad - freq: 32
919. layo - freq: 32
920. .ph/ - freq: 32
921. prim - freq: 32
922. coxm - freq: 32
923. lish - freq: 32
924. hase - freq: 32
925. /abs - freq: 32
926. /eng - freq: 32
927. &loc - freq: 32
928. s.or - freq: 32
929. do.e - freq: 32
930. 17ef - freq: 32
931. dule - freq: 32
932. ri.c - freq: 32
933. inc/ - freq: 32
934. 696c - freq: 32
935. ef38 - freq: 32
936. roup - freq: 32
937. ngli - freq: 32
938. wayt - freq: 32
939. engl - freq: 32
940. enso - freq: 32
941. ets/ - freq: 32
942. work - freq: 32
943. asse - freq: 32
944. atin - freq: 32
945. sing - freq: 32
946. odul - freq: 32
947. stru - freq: 31
948. /.ic - freq: 31
949. onts - freq: 31
950. onst - freq: 31
951. d-lo - freq: 31
952. tasp - freq: 31
953. boxc - freq: 31
954. .ane - freq: 31
955. ghta - freq: 31
956. pere - freq: 31
957. gn.r - freq: 31
958. pgra - freq: 31
959. .icl - freq: 31
960. .log - freq: 31
961. chas - freq: 31
962. cmd- - freq: 31
963. ud.s - freq: 31
964. ucti - freq: 31
965. n.ru - freq: 31
966. /atb - freq: 31
967. /cmd - freq: 31
968. upgr - freq: 31
969. data - freq: 31
970. &ran - freq: 31
971. s/th - freq: 31
972. htas - freq: 31
973. md-l - freq: 31
974. ques - freq: 31
975. modu - freq: 31
976. iclo - freq: 31
977. redi - freq: 31
978. in/c - freq: 31
979. ineb - freq: 31
980. inke - freq: 31
981. rime - freq: 31
982. eens - freq: 31
983. egre - freq: 31
984. ited - freq: 31
985. neba - freq: 31
986. ng.c - freq: 31
987. ruct - freq: 31
988. acce - freq: 31
989. nsol - freq: 31
990. nstr - freq: 31
991. apps - freq: 31
992. ayou - freq: 31
993. soft - freq: 31
994. xcon - freq: 30
995. ol.c - freq: 30
996. //.e - freq: 30
997. om/j - freq: 30
998. -lay - freq: 30
999. /.be - freq: 30
1000. olum - freq: 30
1001. kbox - freq: 30
1002. blac - freq: 30
1003. ort- - freq: 30
1004. -scr - freq: 30
1005. m.bl - freq: 30
1006. thre - freq: 30
1007. ks/c - freq: 30
1008. .bla - freq: 30
1009. lack - freq: 30
1010. n%20 - freq: 30
1011. chil - freq: 30
1012. ckbo - freq: 30
1013. e.an - freq: 30
1014. 9.ht - freq: 30
1015. .usb - freq: 30
1016. colu - freq: 30
1017. n-la - freq: 30
1018. n-sc - freq: 30
1019. ctin - freq: 30
1020. umn- - freq: 30
1021. lumn - freq: 30
1022. /dhl - freq: 30
1023. ut/b - freq: 30
1024. f%20 - freq: 30
1025. hree - freq: 30
1026. /lin - freq: 30
1027. megr - freq: 30
1028. /sha - freq: 30
1029. /thr - freq: 30
1030. /upg - freq: 30
1031. mn-s - freq: 30
1032. 0ame - freq: 30
1033. 6205 - freq: 30
1034. k-am - freq: 30
1035. ile/ - freq: 30
1036. imeg - freq: 30
1037. ee-c - freq: 30
1038. een- - freq: 30
1039. 20am - freq: 30
1040. 20of - freq: 30
1041. 0of% - freq: 30
1042. roso - freq: 30
1043. 2423 - freq: 30
1044. ng.u - freq: 30
1045. en-l - freq: 30
1046. g.us - freq: 30
1047. nk-a - freq: 30
1048. ackb - freq: 30
1049. adin - freq: 30
1050. es/d - freq: 30
1051. es/a - freq: 30
1052. -col - freq: 30
1053. of%2 - freq: 30
1054. font - freq: 29
1055. on=d - freq: 29
1056. on=f - freq: 29
1057. //se - freq: 29
1058. //un - freq: 29
1059. d.1& - freq: 29
1060. fway - freq: 29
1061. orde - freq: 29
1062. ort/ - freq: 29
1063. d269 - freq: 29
1064. tech - freq: 29
1065. ?ran - freq: 29
1066. xyz/ - freq: 29
1067. ca/c - freq: 29
1068. .hal - freq: 29
1069. che@ - freq: 29
1070. lfwa - freq: 29
1071. 917e - freq: 29
1072. .web - freq: 29
1073. .xyz - freq: 29
